defined_class,defined_class label,stimulus,stimulus label
EO:0001005,"nickel treatment",CHEBI:28112,"nickel atom"
EO:0001006,"phosphate treatment",CHEBI:26020,"phosphate"
EO:0001008,"sulfate treatment",CHEBI:16189,"sulfate"
EO:0001009,"inorganic anion treatment",CHEBI:24834,"inorganic anion"
EO:0001010,"carbohydrate treatment",CHEBI:16646,"carbohydrate"
EO:0001011,"monosaccharide treatment",CHEBI:35381,"monosaccharide"
EO:0001012,"hexose treatment",CHEBI:18133,"hexose"
EO:0001013,"glucose treatment",CHEBI:17234,"glucose"
EO:0001014,"disaccharide treatment",CHEBI:36233,"disaccharide"
EO:0001015,"sucrose treatment",CHEBI:17992,"sucrose"
EO:0001016,"inorganic cation treatment",CHEBI:36915,"inorganic cation"
EO:0001017,"ammonium treatment",CHEBI:28938,"ammonium"
EO:0001018,"cadmium treatment",CHEBI:22977,"cadmium atom"
EO:0001020,"carbon dioxide treatment",CHEBI:16526,"carbon dioxide"
EO:0001021,"ozone treatment",CHEBI:25812,"ozone"
EO:0001035,"stratification treatment",PATO:0002067,"stratification"
EO:0001060,"sodium hydroxide treatment",CHEBI:32145,"sodium hydroxide"
EO:0001061,"polyethylene glycol treatment",CHEBI:46793,"poly(ethylene glycol)"
EO:0007022,"Liliopsida treatment",NCBITaxon:4447,"Liliopsida"
EO:0007031,"Mammalia treatment",NCBITaxon:40674,"Mammalia"
EO:0007041,"antibiotic treatment",CHEBI:33281,"antimicrobial agent"
EO:0007044,"mineral treatment",CHEBI:46662,"mineral"
EO:0007048,"sodium chloride regimen",CHEBI:26710,"sodium chloride"
EO:0007063,"diuron treatment",CHEBI:116509,"diuron"
EO:0007066,"cytokinin treatment",CHEBI:23530,"cytokinin"
EO:0007068,"ethylene treatment",CHEBI:29362,"ethylene group"
EO:0007069,"gibberellic acid treatment",CHEBI:86644,"Gibberellic acid"
EO:0007074,"auxin treatment",CHEBI:22676,"auxin"
EO:0007080,"jasmonic acid treatment",CHEBI:18292,"jasmonic acid"
EO:0007088,"Ceratobasidium oryzae-sativae treatment",EO:0007088,"Ceratobasidium oryzae-sativae treatment"
EO:0007105,"abscisic acid treatment",CHEBI:22152,"2-cis-abscisic acid"
EO:0007113,"rice necrosis mosaic virus treatment",EO:0007113,"rice necrosis mosaic virus treatment"
EO:0007154,"radiation quality treatment",PATO:0001739,"radiation quality"
EO:0007165,"growth hormone treatment",CHEBI:37845,"growth hormone"
EO:0007167,"pesticide treatment",CHEBI:25944,"pesticide"
EO:0007168,"hygromycin treatment",CHEBI:24753,"hygromycin"
EO:0007180,"2,4-dichlorophenoxyacetic acid treatment",CHEBI:28854,"2,4-D"
EO:0007183,"herbicide treatment",CHEBI:24527,"herbicide"
EO:0007185,"salt treatment",CHEBI:24866,"salt"
EO:0007187,"salicylic acid treatment",CHEBI:16914,"salicylic acid"
EO:0007195,"rice ragged stunt virus treatment",EO:0007195,"rice ragged stunt virus treatment"
EO:0007204,"1-naphthaleneacetic acid treatment",CHEBI:32918,"1-naphthylacetic acid"
EO:0007223,"cadmium chloride treatment",CHEBI:35456,"cadmium dichloride"
EO:0007267,"benzothiadiazole treatment",CHEBI:48864,"benzothiadiazole"
EO:0007268,"fungicide treatment",CHEBI:24127,"fungicide"
EO:0007287,"dibromothymoquinone treatment",CHEBI:19371,"dibromothymoquinone"
EO:0007290,"kinetin treatment",CHEBI:27407,"kinetin"
EO:0007291,"benzyladenine treatment",CHEBI:29022,"N-benzyladenine"
EO:0007292,"ethylphosphine treatment",CHEBI:35889,"ethylphosphine"
EO:0007373,"mechanical damage",EO:0007373,"mechanical damage"
EO:0007407,"methyl jasmonate treatment",CHEBI:15929,"(-)-methyl jasmonate"
EO:0007408,"5-methyltryptophan treatment",CHEBI:52524,"5-methyltryptophan"
EO:0007409,"brassinosteroid treatment",CHEBI:22921,"brassinosteroid"
EO:0007414,"peroxide treatment",CHEBI:44785,"peroxide"
EO:0007415,"hydrogen peroxide treatment",CHEBI:16240,"hydrogen peroxide"
EO:0007521,"actinomycin D treatment",CHEBI:27666,"actinomycin D"
EO:0007551,"mitomycin C treatment",CHEBI:27504,"mitomycin C"
EO:0007632,"insecticide treatment",CHEBI:24852,"insecticide"
EO:0007633,"imidazolinone treatment",CHEBI:24781,"imidazolinone"
