defined_class	defined_class label	stimulus	stimulus label
PECO:0007022	"Liliopsida exposure"	NCBITaxon:4447	"Liliopsida"
PECO:0007031	"Mammalia exposure"	NCBITaxon:40674	"Mammalia"
PECO:0007060	"Sphaerulina oryzina exposure"	NCBITaxon:706553	"Passalora janseana"
PECO:0007073	"Basidiomycota exposure"	NCBITaxon:5204	"Basidiomycota"
PECO:0007077	"Tilletia barclayana exposure"	NCBITaxon:157178	"Tilletia barclayana"
PECO:0007083	"Phoma sorghina exposure"	NCBITaxon:749593	"Epicoccum sorghinum"
PECO:0007088	"Ceratobasidium oryzae-sativae exposure"	NCBITaxon:63189	"Ceratorhiza oryzae-sativae"
PECO:0007106	"Stramenopiles exposure"	NCBITaxon:33634	"Stramenopiles"
PECO:0007107	"Ascomycota exposure"	NCBITaxon:4890	"Ascomycota"
PECO:0007110	"dsRNA virus exposure"	NCBITaxon:35325	"dsRNA viruses"
PECO:0007148	"Xanthomonas oryzae exposure"	NCBITaxon:347	"Xanthomonas oryzae"
PECO:0007166	"Pythium spinosum exposure"	NCBITaxon:82948	"Pythium spinosum"
PECO:0007177	"Pythium myriotylum exposure"	NCBITaxon:82941	"Pythium myriotylum"
PECO:0007179	"Pythium irregulare exposure"	NCBITaxon:36331	"Pythium irregulare"
PECO:0007182	"Pythium graminicola exposure"	NCBITaxon:82937	"Pythium graminicola"
PECO:0007184	"Pythium dissotocum exposure"	NCBITaxon:82936	"Pythium dissotocum"
PECO:0007188	"Pythium arrhenomanes exposure"	NCBITaxon:82932	"Pythium arrhenomanes"
PECO:0007190	"Ustilaginoidea virens exposure"	NCBITaxon:1159556	"Ustilaginoidea virens"
PECO:0007194	"Sclerospora macrospora exposure"	NCBITaxon:467176	"Sclerophthora macrospora"
PECO:0007206	"Gaeumannomyces graminis exposure"	NCBITaxon:29850	"Gaeumannomyces graminis"
PECO:0007211	"Cochliobolus miyabeanus exposure"	NCBITaxon:101162	"Bipolaris oryzae"
PECO:0007226	"Magnaporthe grisea exposure"	NCBITaxon:148305	"Magnaporthe grisea"
PECO:0007227	"Cochliobolus lunatus exposure"	NCBITaxon:5503	"Curvularia lunata"
PECO:0007229	"Gibberella fujikuroi exposure"	NCBITaxon:117187	"Fusarium verticillioides"
PECO:0007234	"Pseudomonas fuscovaginae exposure"	NCBITaxon:50340	"Pseudomonas fuscovaginae"
PECO:0007243	"Pseudomonas glumae exposure"	NCBITaxon:337	"Burkholderia glumae"
PECO:0007245	"Erwinia chrysanthemi exposure"	NCBITaxon:556	"Dickeya chrysanthemi"
PECO:0007246	"bacterial plant exposure"	NCBITaxon:2	"Bacteria"
PECO:0007247	"Erwinia herbicola exposure"	NCBITaxon:549	"Pantoea agglomerans"
PECO:0007254	"Pseudomonas avenae exposure"	NCBITaxon:80867	"Acidovorax avenae"
PECO:0007318	"rice yellow mottle virus exposure"	NCBITaxon:31744	"Rice yellow mottle virus"
PECO:0007320	"Meloidogyne arenaria exposure"	NCBITaxon:6304	"Meloidogyne arenaria"
PECO:0007322	"Hirschmaniella oryzae exposure"	NCBITaxon:362338	"Hirschmanniella oryzae"
PECO:0007333	"insect plant exposure"	NCBITaxon:50557	"Insecta"
PECO:0007336	"Ditylenchus angustus exposure"	NCBITaxon:344380	"Ditylenchus angustus"
PECO:0007337	"Nematoda exposure"	NCBITaxon:6231	"Nematoda"
PECO:0007340	"Achlya conspicua exposure"	NCBITaxon:112027	"Achlya conspicua"
PECO:0007341	"Fusarium exposure"	NCBITaxon:5506	"Fusarium"
PECO:0007342	"Achlya klebsiana exposure"	NCBITaxon:4767	"Achlya klebsiana"
PECO:0007349	"metazoan plant exposure"	NCBITaxon:33208	"Metazoa"
PECO:0007350	"rice stripe virus exposure"	NCBITaxon:12331	"Rice stripe virus"
PECO:0007356	"rice hoja blanca virus exposure"	NCBITaxon:12332	"Rice hoja blanca virus"
PECO:0007358	"rice grassy stunt virus exposure"	NCBITaxon:66266	"Rice grassy stunt virus"
PECO:0007360	"barley yellow dwarf virus exposure"	NCBITaxon:12037	"Barley yellow dwarf virus"
PECO:0007363	"Magnaporthe salvinii exposure"	NCBITaxon:165778	"Nakataea oryzae"
PECO:0007364	"Rhizoctonia oryzae exposure"	NCBITaxon:459364	"Rhizoctonia oryzae"
PECO:0007365	"rice dwarf virus exposure"	NCBITaxon:10991	"Rice dwarf virus"
PECO:0007367	"Aphelenchoides besseyi exposure"	NCBITaxon:269767	"Aphelenchoides besseyi"
PECO:0007371	"Meloidogyne javanica exposure"	NCBITaxon:6303	"Meloidogyne javanica"
PECO:0007372	"Meloidogyne incognita exposure"	NCBITaxon:6306	"Meloidogyne incognita"
PECO:0007374	"Cylindrocladium scoparium exposure"	NCBITaxon:40624	"Calonectria cylindrospora"
PECO:0007375	"Meloidogyne graminicola exposure"	NCBITaxon:189291	"Meloidogyne graminicola"
PECO:0007377	"Athelia rolfsii exposure"	NCBITaxon:39291	"Athelia rolfsii"
PECO:0007378	"Sarocladium oryzae exposure"	NCBITaxon:284135	"Sarocladium oryzae"
PECO:0007379	"Thanatephorus cucumeris exposure"	NCBITaxon:107832	"Thanatephorus cucumeris"
PECO:0007388	"Alternaria padwickii exposure"	NCBITaxon:714880	"Alternaria padwickii"
PECO:0007389	"Gibberella zeae exposure"	NCBITaxon:5518	"Fusarium graminearum"
PECO:0007411	"Pseudomonas fluorescens exposure"	NCBITaxon:294	"Pseudomonas fluorescens"
PECO:0007631	"Sclerospora graminicola exposure"	NCBITaxon:162130	"Sclerospora graminicola"
